movie_id,title,tags
19995,Avatar,22nd centuri parapleg marin dispatch moon pandora uniqu mission becom torn follow order protect alien civil samworthington zoesaldana sigourneyweaver cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d samworthington zoesaldana sigourneyweaver jamescameron
285,Pirates of the Caribbean: At World's End,captain barbossa long believ dead come back life head edg earth turner elizabeth swann noth quit seem johnnydepp orlandobloom keiraknightley ocean drugabuse exoticisland eastindiatradingcompany loveofone'slife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger johnnydepp orlandobloom keiraknightley goreverbinski
206647,Spectre,cryptic messag bond past send trail uncov sinist organ battl polit forc keep secret servic aliv bond peel back layer deceit reveal terribl truth behind spectr danielcraig christophwaltz léaseydoux spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom danielcraig christophwaltz léaseydoux sammendes
49026,The Dark Knight Rises,follow death district attorney harvey dent batman assum respons dent crime protect late attorney reput subsequ hunt gotham citi polic depart eight year later batman encount mysteri selina kyle villain bane new terrorist leader overwhelm gotham finest dark knight resurfac protect citi brand enemi christianbale michaelcaine garyoldman dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante cover-up superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman christianbale michaelcaine garyoldman christophernolan
49529,John Carter,john carter warweari former militari captain who inexplic transport mysteri exot planet barsoom mar reluctantli becom embroil epic conflict world brink collaps carter rediscov human realiz surviv barsoom peopl rest hand taylorkitsch lynncollins samanthamorton basedonnovel mars medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d taylorkitsch lynncollins samanthamorton andrewstanton
559,Spider-Man 3,seemingli invinc spiderman goe allnew crop villain includ shapeshift sandman spiderman superpow alter alien organ alter ego peter parker deal nemesi eddi brock also get caught love triangl tobeymaguire kirstendunst jamesfranco dualidentity amnesia sandstorm loveofone'slife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge tobeymaguire kirstendunst jamesfranco samraimi
38757,Tangled,kingdom wantedand charmingbandit flynn rider hide mysteri tower he taken hostag rapunzel beauti feisti towerbound teen 70 feet magic golden hair flynn curiou captor who look ticket tower she lock away year strike deal handsom thief unlik duo set actionpack escapad complet supercop hors overprotect chameleon gruff gang pub thug zacharylevi mandymoore donnamurphy hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick zacharylevi mandymoore donnamurphy byronhoward nathangreno
99861,Avengers: Age of Ultron,toni stark tri jumpstart dormant peacekeep program thing go awri earth mightiest hero put ultim test fate planet hang balanc villain ultron emerg aveng stop enact terribl plan soon uneasi allianc unexpect action pave way epic uniqu global adventur robertdowneyjr. chrishemsworth markruffalo marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d robertdowneyjr. chrishemsworth markruffalo josswhedon
767,Harry Potter and the Half-Blood Prince,harri begin sixth year hogwart discov old book mark properti halfblood princ begin learn lord voldemort dark past danielradcliffe rupertgrint emmawatson witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf danielradcliffe rupertgrint emmawatson davidyates
209112,Batman v Superman: Dawn of Justice,fear action godlik super hero left uncheck gotham citi formid forc vigilant take metropoliss rever modernday savior world wrestl sort hero realli need batman superman war one anoth new threat quickli aris put mankind greater danger ever known benaffleck henrycavill galgadot dccomics vigilante superhero basedoncomicbook revenge superpowers clarkkent brucewayne dcextendeduniverse benaffleck henrycavill galgadot zacksnyder
1452,Superman Returns,superman return discov 5year absenc allow lex luthor walk free closest felt abandon move luthor plot ultim reveng could see million kill chang face planet forev well rid man steel brandonrouth kevinspacey katebosworth savingtheworld dccomics invulnerability sequel superhero basedoncomicbook kryptonite superpowers superhumanstrength lexluthor brandonrouth kevinspacey katebosworth bryansinger
10764,Quantum of Solace,quantum solac continu adventur jame bond casino royal betray vesper woman love 007 fight urg make latest mission person pursu determin uncov truth bond interrog mr white reveal organ blackmail vesper far complex danger anyon imagin danielcraig olgakurylenko mathieuamalric killing undercover secretagent britishsecretservice danielcraig olgakurylenko mathieuamalric marcforster
